"wald"	"sigma2"	"eff"
"V57"	46.5192757685556	0.709299419479492	0.0131547636014872
"V58"	322.699304972368	0.709225919728851	0.0338344599442037
"V59"	468.638723637132	0.709208732015293	0.0336733268669256
"V60"	794.48021103893	0.70913707425654	0.0437862114585536
"V61"	664.732426340916	0.709228827446252	-0.0227790637735407
"V62"	952.755794352382	0.709192444833198	-0.0273363870456058
"V63"	120.526329552642	0.7092919146845	-0.0129905348800731
"V64"	124.144214558215	0.709288401734271	0.0150220375418889
"V65"	385.227779567358	0.709217284448603	0.0340685412946535
"V66"	40.3127084402441	0.709300468297097	0.0129669510028218
"V67"	4.30702760981171	0.709310871656701	0.00434113678789957
"V68"	11.9975815561239	0.70930858099844	0.00726184857633649
"V69"	101.275246611959	0.709280573912528	0.0221142219195499
"V70"	78.4512849457172	0.709287868527014	0.019321263014079
"V71"	0.0154627471221738	0.709312145026862	0.00028157254283536
"V72"	140.155164760663	0.709265068446084	-0.0280298487218553
"V73"	121.972671049017	0.70927176958659	-0.0257697319715753
"V74"	64.6882816779366	0.709290647753615	-0.0188421226857566
"V75"	43.4936316669131	0.709297782615109	-0.0153539199365392
"V76"	19.1061732402121	0.709305676167868	-0.0104381597662332
"V77"	2622.0629452532	0.708757476167696	-0.0764014499998929
"V78"	2568.54372971134	0.708722647465258	-0.0820444138846888
"V79"	1195.58253892995	0.708973011045204	-0.0691578244472284
"V80"	1809.27894441262	0.708797559374445	-0.0853237677214151
"V81"	0.230389758208017	0.709312072080192	0.00114402058201843
"V82"	1878.46878749373	0.708771879037114	-0.0879197186300826
"V83"	2099.38465464662	0.708708480768258	-0.0929326957366695
"V84"	1058.37765272075	0.709015725078413	-0.0642423833991261
"V85"	1073.51739824513	0.709021598028695	-0.0625234518756966
"V86"	322.729885954231	0.709198062636961	0.0447644782380027
"V87"	346.528732395647	0.709187213066544	0.0473089642257292
"V88"	435.862064299044	0.709172116237893	0.0472813306603324
"V89"	1312.74632211701	0.708928835887179	-0.074601041986375
"V90"	1339.58295421735	0.708925253225152	-0.0745406176832607
"V91"	1114.80398722424	0.708989977902039	-0.0680348924045582
"V92"	739.389067604499	0.7090362738772	0.0715306672176054
"V93"	945.626768022321	0.709004309897602	0.0705829117923929
"V94"	162.349126011102	0.709252180639963	0.033173161048346
"V95"	976.959784538035	0.708996115949864	0.0712910165186903
"V96"	729.291178605587	0.709081656471198	0.0601720951134623
"V97"	91.6988204949609	0.709279174776319	0.0242701095596961
"V98"	39.7715078877104	0.709297826359171	0.0160074350381857
"V99"	0.442678901287986	0.709311993101535	0.00166190461988536
"V100"	18.2313382280683	0.709307402243636	0.00783659371795987
"V101"	34.4630011577323	0.709300136896889	-0.0144222017769786
"V102"	41.0857682095491	0.709297882507571	0.0156875912187005
"V103"	49.1360899130065	0.709295220172196	0.0170219071615501
"V104"	39.1186923326419	0.709298798720369	0.0150447326717228
"V105"	2.53496992813276	0.709311295697592	-0.00378154184245008
"V106"	578.054677348319	0.709241914581066	-0.0205901935623042
"V107"	0.105706761902981	0.70931211688759	-0.000717659963508633
"V108"	65.7269451955121	0.709292504310935	-0.0170786365570576
"V109"	43.2492304838712	0.709304275767095	-0.0084385794455016
"V110"	205.730997437905	0.709284209422141	0.0137292965126136
"V111"	48.3626204593979	0.709305458155915	0.00678172863171819
"V112"	379.652701861314	0.709248019769866	0.0231982124532607
"V113"	688.680907875683	0.709196641471255	0.0310256920829424
"V114"	488.911368592517	0.709228278293044	0.0267360645426534
"V115"	1314.69718689215	0.709092742986783	0.0426596928885287
"V116"	861.912658082699	0.7091653818203	0.0352399978351859
"V117"	1362.18256965605	0.709077403212581	0.0448406066921228
"V118"	631.833080301905	0.709185739461773	0.0354491009873187
"V119"	112.865830238377	0.709288114440702	0.0159453242440113
"V120"	73.5114478370953	0.709296419905506	0.0129303140287438
"V121"	62.11199323852	0.709298910852114	0.0118392987012088
"V122"	594.419449926021	0.709180567153358	0.0380433773722277
"V123"	1571.32763711429	0.709069739010837	0.0431134825964325
"V124"	150.745482250686	0.709274608588113	0.0215504882747372
"V125"	345.52025132315	0.709225501272024	0.0328567199797713
"V126"	594.097069164093	0.709176672123651	-0.0391803539077042
"V127"	755.761315082003	0.709142275643609	0.0435597363424644
"V128"	15.636483340294	0.709308252888908	-0.00694577646037593
"V129"	174.531666336738	0.709263378523822	0.0260198230220428
"V130"	121.351554345371	0.709278412401285	0.0215852869408485
"V131"	311.104731312178	0.709224992709238	0.0348296807724291
"V132"	281.930712095086	0.709232543214193	0.0334174532527087
"V133"	413.79177050391	0.709205977372034	-0.036790218845671
"V134"	6.82262827501012	0.709310247556336	0.00513312329930805
"V135"	91.0395828338599	0.709286569482775	0.0188953746006871
"V136"	59.6628759133818	0.70929530244677	0.0153723642975576
"V137"	98.0869673913582	0.709285191886458	0.019184302182416
"V138"	59.1178649905456	0.709295882555089	0.0149113009912547
"V139"	238.109475297087	0.709249164042319	0.028769987107978
"V140"	110.851852566023	0.709286437259521	-0.0172122753272728
"V141"	349.33729809254	0.709239797025519	0.027284997668569
"V142"	53.0225954984334	0.709301694531631	-0.0101196368993621
"V143"	321.007403389583	0.709250035402446	0.0244354244137707
"V144"	193.129312898706	0.709292673126415	-0.0098776287199847
"V145"	95.2557712235108	0.709302618145262	-0.00688308463133221
"V146"	8344.05665144201	0.708502330285696	-0.0625520538609459
"V147"	986.289186275976	0.709220427423623	-0.0205861904423776
"V148"	1205.56572361106	0.709192558921868	-0.0242785241642408
"V149"	77.8216000819334	0.709304856746224	0.00582667975375893
"V150"	1671.03840465822	0.709145091482065	0.0288086847417098
"V151"	1703.7262015032	0.709141950314763	0.0290675747339781
"V152"	2079.23891037542	0.709107498336333	0.0316398292287943
"V153"	70.3511951571079	0.709304825179041	-0.00615476103846051
"V154"	84.3838672739451	0.709303390792591	-0.00672025801006601
"V155"	657.348526960485	0.7092689939499	-0.0118635851704481
"V156"	21.3685841468525	0.709308830105568	-0.0050615497276435
"V157"	265.367197178164	0.709271414027295	-0.017624836558166
"V158"	5.8008703124385	0.709311191474735	-0.00280479429839076
"V159"	2.66432630684754	0.709311711161847	-0.00189474890638561
"V160"	3.20979676474076	0.709311621540009	-0.00207881213381525
"V161"	2.52279263026659	0.709311736397411	0.0018351989147954
"V162"	1.15993774123948	0.709311958447891	-0.00125344120232201
"V163"	43.0910766257763	0.709305044180935	-0.00762904631031278
"V164"	29.3994091587807	0.70930741635345	-0.00615282689934407
"V165"	7.97403203901576	0.709310898360474	-0.00312381299767251
"V166"	1678.30587761753	0.709143546615585	-0.0290121356204553
"V167"	882.913995810199	0.709245733011511	0.0157545626318493
"V168"	0.0780370591301019	0.709312133918108	0.000405597825832832
"V169"	91.2364040958606	0.709290658189053	-0.0158579748965456
"V170"	138.416432031446	0.709279771848085	-0.0193965158582907
"V171"	240.652335475158	0.709256058522794	-0.0254848381898721
"V172"	183.173063553118	0.709268687324072	-0.0226338251278301
"V173"	133.394742596651	0.709280565043432	-0.0192741810659889
"V174"	164.085945149548	0.709273099376663	-0.0214863116580366
"V175"	80.5684807946141	0.709292830128786	-0.015169773376344
"V176"	19.848033878035	0.709307382977768	-0.00754113344459608
"V177"	242.146059912636	0.709241208081223	-0.0321331552401388
"V178"	182.942162627281	0.709257634420571	-0.0284081403700315
"V179"	96.5839239375376	0.709283416750757	-0.0206060890085979
"V180"	187.728195476373	0.709255729093108	-0.0290238856968886
"V181"	127.424283438498	0.709273681370176	-0.0240187196147198
"V182"	94.7850221089557	0.709283983433438	-0.0203904569534907
"V183"	648.56290182736	0.70915076394422	0.0446719082034775
"V184"	167.952569825397	0.709263067480117	-0.0266937304346931
"V185"	68.5906344618935	0.709291702229515	-0.0174008996185271
"V186"	112.06483411741	0.709278422220978	-0.0224553273819121
"V187"	97.8561625097456	0.70928258683263	-0.0210630198121382
"V188"	193.935183153889	0.709254568012636	-0.0291433387581577
"V189"	127.33518110616	0.709273859359632	-0.0239159452001114
"V190"	185.952251883106	0.709256206307421	-0.0289154769593666
"V191"	107.944498535917	0.709279831017062	-0.0219241561670119
"V192"	84.6851949753358	0.709287034993626	-0.0192349284207014
"V193"	1076.89184212016	0.709251973235946	0.0129248447219567
"V194"	4.71499844055729	0.709311824710672	-0.00105576731238792
"V195"	211.91324076293	0.709298824082827	-0.00645166479326957
"V196"	4906.82765526384	0.708941108897828	0.037350342600882
"V197"	3969.3689334231	0.709030058503492	0.0315680491140994
"V198"	3704.14760951366	0.708985939452211	-0.0377919555144674
"V199"	6810.16170578996	0.708598934176585	-0.0609712216211967
"V200"	3525.30587536981	0.708890755601588	0.050048858247179
"V201"	2667.68736450024	0.709020905979452	-0.0397570031512192
"V202"	2424.44894854043	0.709010494637317	0.0431951507940729
"V203"	2990.68083416837	0.708946066871273	0.0472024579482563
"V204"	1575.53508822836	0.709116734631309	0.0347064399322199
"V205"	1315.70756021045	0.709148408507033	0.0318218226896487
"V206"	8033.14773161609	0.708345099372479	0.0761455582567924
"V207"	260.85105455457	0.709280703289581	0.013722835117222
"V208"	1825.77071386557	0.709046648648265	0.0438078498658352
"V209"	1142.65393019852	0.7091411476372	0.0356611373703925
"V210"	3476.43882071879	0.708827729586856	0.0579425459033409
"V211"	4306.36239249916	0.708711053599497	0.0646104501665317
"V212"	4424.54138282635	0.708692378355708	0.0657238419959489
"V213"	597.796322145389	0.709215654119886	0.0278187078213325
"V214"	242.406530786114	0.709272553036264	0.017925020243787
"V215"	352.547913065255	0.709254084349535	0.0217967365379693
"V216"	467.109826096858	0.709236277622826	0.02474379766191
"V217"	372.076002090623	0.709252426546553	0.0218228441927747
"V218"	271.471553993608	0.709263442697898	0.0208356678719447
"V219"	582.889113225664	0.709205269798818	0.0312043724410106
"V220"	753.914962953366	0.709171947483789	0.0359936757188094
"V221"	302.042942409405	0.709252973749647	0.0239991041820835
"V222"	2364.59782267239	0.708970124349373	-0.0495946957980527
"V223"	1333.34939481909	0.709034688082171	0.053573133108898
"V224"	758.717275481257	0.709166231926545	0.0373425674879189
"V225"	87.3222900540769	0.709301672770634	-0.0079019783577487
"V226"	2.80998048479642	0.709311448138877	-0.00295081897799162
"V227"	73.0545472653179	0.709293244374788	-0.0155892281914359
"V228"	150.090849573398	0.709273713255132	-0.0221125438957135
"V229"	24.2939099589319	0.709306033058924	-0.00874650827853202
"V230"	4.10848175517163	0.709311074007594	-0.0037412168056909
"V231"	220.882938384106	0.709254879235306	-0.0271601811747806
"V232"	218.419645160232	0.709257069826437	-0.0262681129346167
"V233"	211.467594968277	0.709258616130943	-0.0259468830649232
"V234"	875.707214327053	0.709224570030554	0.0208604976371689
"V235"	825.620782681888	0.709093439308845	-0.0536610744459286
"V236"	1619.26432840253	0.708872661733711	-0.0770199645114002
"V237"	1126.12109428669	0.709008095333687	-0.0638838471145696
"V238"	1079.80682993142	0.709018200366793	-0.0630704069536773
"V239"	1029.99269211257	0.709176748933253	-0.0297394988876161
"V240"	68.3805708675618	0.709293947415672	-0.0155139880506031
"V241"	378.397683788771	0.709210161491561	-0.0369560181178576
"V242"	349.980877657953	0.70922077356503	-0.0344281524178573
"V243"	519.002382549703	0.709186788382364	-0.0387884472445323
"V244"	567.835252431982	0.709165671641261	-0.0433308997115806
"V245"	58.0971422731885	0.70929761809746	-0.0134369151642544
"V246"	218.291235467764	0.709263294237736	-0.0233062956376445
"V247"	180.660616986157	0.70926929585559	-0.0224715489916874
"V248"	140.246845442405	0.70927854690612	-0.0199985708790768
"V249"	142.957675729261	0.709279444530715	0.0192789040317231
"V250"	5.02019434818344	0.709311003951109	-0.0036048516728189
"V251"	18.9664223210364	0.709307705526177	0.00719242941035179
"V252"	27.469175325212	0.709305991064493	0.00828193842400935
"V253"	20.5337666562057	0.709307340526736	0.00748016931984715
"V254"	154.232350104828	0.709276509813439	0.0202264529578878
"V255"	4989.07398309649	0.708725388767053	-0.0585944635578311
"V256"	88.317325669654	0.709291615457988	0.0153999840045463
"V257"	48.8258428765925	0.709300643533822	0.0116056556978805
"V258"	150.699016600435	0.709277354830499	0.0199770210171505
"V259"	40.5774996874859	0.709302920721422	0.0102111878011271
"V260"	698.439956689671	0.709169838903944	0.0379583293545152
"V261"	475.25545758832	0.709220039335958	0.0297816305248303
"V262"	55.3896977297474	0.7093010159695	0.010543632651075
"V263"	918.225335386295	0.70922178513064	0.0210196768184665
"V264"	732.773860905608	0.70923978013105	0.0188435542156787
"V265"	346.969302707145	0.709269537069721	-0.0161238092081869
"V266"	10045.0736474064	0.708259270612177	-0.0741468879556923
"V267"	3018.70647892481	0.708964913303222	0.0445629118227653
"V268"	795.082431147534	0.709215014660882	0.0242815482485709
"V269"	9726.51930308761	0.708266237531563	-0.0748519654756158
"V270"	67.0768378732649	0.709299458203976	0.0109216971195927
"V271"	1016.5340819224	0.70914998354096	-0.035854617010987
"V272"	430.892272607015	0.709247785036917	-0.0218549735898316
"V273"	852.815837567317	0.709181689111179	-0.0314904096798549
"V274"	3299.5671930157	0.708718329562816	0.0729182303039263
"V275"	2996.52726859915	0.708762548356797	0.0708143506611887
"V276"	68.9948750187047	0.709301319364513	0.00918962288059554
"V277"	99.4640811068718	0.709296562732446	0.0110151900099224
"V278"	5.63770733670413	0.709311065715987	0.00321837142197783
"V279"	7.61771615066256	0.709310680169911	-0.00375318421669495
"V280"	0.831194489272977	0.709311989083287	0.00124389003567251
"V281"	23.2525087761818	0.709307648379342	0.00657933487780902
"V282"	159.300205743763	0.709282732960123	0.0164268569603538
"V283"	5987.49892695824	0.708735493910439	-0.052564569048368
"V284"	6025.29358884644	0.708640340586284	-0.0610540165794249
"V285"	3412.01438497907	0.708757550586475	-0.0669667794495458
"V286"	3103.33337781938	0.708779270257602	-0.0674663352219928
"V287"	2658.00632576412	0.708793512284962	-0.070949524457832
"V288"	70.4403960861394	0.709300377941585	-0.00988540057475125
"V289"	2489.31086267589	0.708825139754701	-0.0688402677057564
"V290"	68.9141014695411	0.70929971881311	-0.0105538694749365
"V291"	12.3010857835728	0.709309928231471	0.00446450378047069
"V292"	3468.58647991282	0.708616068115559	-0.0833789085121683
"V293"	161.003568562325	0.709282622568674	0.01640105026323
"V294"	184.62941449495	0.709278490262237	0.0174592894003293
"V295"	915.156408259949	0.709121792646707	0.0443592595397832
"V296"	1999.3114819992	0.708902100251674	0.0646685596298236
"V297"	1207.03937893902	0.709056159484461	-0.0519476193603657
"V298"	801.216278384634	0.709134064594348	0.0443514909642422
"V299"	1370.77496969446	0.709002286791162	0.0590095665893693
"V300"	2166.04346581716	0.708781421420511	-0.0804284498714929
"V301"	1332.64272398585	0.709025570665494	-0.0553489306403931
"V302"	1773.23857736361	0.708898031629622	-0.0693490109893905
"V303"	1531.21498091754	0.708931349190794	-0.0686212662023475
"V304"	392.911516013419	0.709225191808919	0.0309216084095223
"V305"	3737.3799713865	0.708377918282187	-0.107842289763389
"V306"	408.761459357651	0.709220337007175	0.0320089262637521
"V307"	3720.30119566876	0.708380135589939	-0.107832664460818
"V308"	4685.59353801905	0.708145570924036	-0.120307435166416
"V309"	1034.69714268186	0.709084322389403	0.0499326912650345
"V310"	3339.82762267615	0.708513794303131	-0.0974696095633781
"V311"	2156.43594751363	0.70881237817677	-0.0759023679724082
"V312"	1647.87099696092	0.708932124065986	-0.0660130965054908
"V313"	463.29624768056	0.709218082178744	-0.0308045598252793
"V314"	2251.24408979577	0.708885710718581	0.0633800853100292
"V315"	1228.8687180029	0.709058398019018	-0.0510337897205395
"V316"	1034.73691605047	0.709119927633617	-0.0421262094634542
"V317"	2196.85831027437	0.708903231966224	0.0615221373908984
"V318"	11365.0559844169	0.707847854293034	0.0970032342781247
"V319"	156.411304608154	0.709290296931477	-0.0123150839195855
"V320"	2014.76717651833	0.709019396450993	0.0459848472492995
"V321"	283.090720793454	0.709280776625796	-0.0131420552782489
"V322"	221.975172779394	0.709275321863677	0.0174219100938788
"V323"	349.987895481848	0.709254885920326	0.0215742911444868
"V324"	318.925700872571	0.709258965654434	0.0209902359903695
"V325"	431.419854283746	0.709240855327367	0.0241933704983046
"V326"	538.914049139374	0.709224000090771	0.0267646645614023
"V327"	1234.62981730375	0.709126361573784	0.0372743234671301
"V328"	4059.58808502851	0.708776677814247	0.0592747384536635
"V329"	3495.36791075222	0.708852124387581	0.0548735492431044
"V330"	4803.85974324496	0.708667859485749	0.0655732901131546
"V331"	1492.07496290365	0.70915242237739	0.0291493072816778
"V332"	620.100572557893	0.709240894536574	0.0201686319039384
"V333"	2906.20855355162	0.708994316884304	-0.0415696274913112
"V334"	95.6722700861536	0.709296696807176	-0.0111347441211465
"V335"	361.723116152265	0.709253038772653	-0.0219060330939273
"V336"	877.633241813392	0.709164095042875	-0.0352292018003363
"V337"	279.901120560653	0.709265526705753	-0.0196415101277633
"V338"	538.578971962699	0.709222548882479	-0.0272138074082978
"V339"	5.45871428195523	0.709311236003219	-0.00275704195358071
"V340"	110.481994475964	0.709295817747455	0.0109510544125095
"V341"	285.682233473757	0.709270243331632	0.0174748261320396
"V342"	381.479795970067	0.709257110621869	0.0198617332913832
"V343"	362.932173789241	0.709259761100912	0.0193822553361728
"V344"	305.806593349276	0.709268000761012	0.0177939563031323
"V345"	53.0444956273571	0.70930596533144	0.00598474205770303
"V346"	322.934863041909	0.709274608727221	-0.0147238095609245
"V347"	1137.0641626936	0.709180556301873	-0.0275086264557657
"V348"	3270.22376007179	0.708940494558538	-0.0458273883379346
"V349"	345.339802839431	0.709274303452713	-0.014353962245927
"V350"	357.217541630589	0.709274529025109	-0.014029182699759
"V351"	1156.34076034419	0.709190949637252	-0.02512354597022
"V352"	4164.20013415572	0.708915731328664	-0.0433188403626607
"V353"	3050.43424456285	0.709127532401342	-0.0235641099893746
"V354"	831.2106839222	0.709251711201746	0.0147755266669808
"V355"	163.724620510331	0.709302433220115	0.00535200892690041
"V356"	9.41409272824939	0.709311520498027	0.00144594071732715
"V357"	5.6771751771095	0.709311543982358	-0.0017925100456088
"V358"	1.72525182031386	0.70931196497	-0.00099277277892992
"V359"	391.62240121412	0.709243579618846	-0.0244225210256286
"V360"	130.298271628785	0.709288964564679	-0.014315475099838
"V361"	394.084684741773	0.709249568909518	-0.0222194021305242
"V362"	40.1078209654957	0.709304648137905	-0.00834842558074318
"V363"	34.2627110258855	0.709305713077615	-0.00775026849016393
"V364"	453.989880314222	0.709228841351842	-0.0275590170344988
"V365"	2.53911433594571	0.709311630977622	0.00229555007326479
"V366"	84.0816706353021	0.709294495414894	0.0135694820978862
"V367"	370.773595374627	0.709233774276499	0.0286893602260364
"V368"	2.37448684279837	0.709311688718597	-0.00210970782061718
"V369"	410.273862760109	0.709228191277245	0.0292163540239613
"V370"	39.4534614350887	0.709304533856678	0.00854560203688281
"V371"	127.011768651618	0.709287521894641	0.0154017386206428
"V372"	195.326952960128	0.709274336309657	0.0190693903278805
"V373"	419.47184422441	0.709241774778677	-0.0242190533316531
"V374"	386.789577971101	0.709243913947658	-0.0244547934268628
"V375"	500.271315246041	0.709229816210473	-0.0259460606429778
"V376"	2204.89118164763	0.708963013972507	-0.0524276796833099
"V377"	1848.41653631479	0.70902531139566	-0.0470391069481654
"V378"	787.130692689329	0.709192537798757	-0.0300518367063547
"V379"	1188.92103050947	0.709129146567884	-0.037414549363309
"V380"	1613.1180416972	0.709073510967514	-0.0418890268615285
"V381"	588.005900762898	0.709245964380337	0.0192379604386527
"V382"	1467.98483509317	0.709147658340483	0.0302642243510842
"V383"	200.357805675592	0.709288593170019	-0.0117293455783112
"V384"	2368.92015579755	0.709027000528895	0.041306434967397
"V385"	2306.99058690171	0.709035721133677	0.0405765851440516
"V386"	327.43950536602	0.709269664203999	-0.0165481680036586
"V387"	185.589732887935	0.709293907744678	-0.00943752995439734
"V388"	4707.41385857918	0.708727029761178	-0.0601531072539327
"V389"	9.6938802463308	0.709311167034613	0.00222501785945078
"V390"	247.75567584065	0.709271822380492	-0.0180576468789719
"V391"	212.919236673529	0.709274137760348	0.018360519400586
"V392"	116.338489117235	0.709291313312393	0.0136152418770186
"V393"	595.607960507881	0.709206991597508	0.0303720314264173
"V394"	137.779159476971	0.709287319029159	0.0149094899699142
"V395"	48.8633000577172	0.709303447899932	0.00877371431123793
"V396"	358.597117584497	0.709253610738394	-0.0217884023593891
"V397"	1.15820438620504	0.709312027872434	-0.000799740144888748
"V398"	2.36468349873911	0.709311765314119	-0.00176303117101126
"V399"	13.3092807191038	0.709309984672036	-0.00418304406341302
"V400"	53.4071774475047	0.709303623039645	-0.0082232810055244
"V401"	290.863853922479	0.709266376768573	-0.0189164837827881
"V402"	1462.55535544944	0.709116282055291	0.0361054596398342
"V403"	681.087394479819	0.709204216635527	0.0291518486850794
"V404"	1243.8200036784	0.709183051789658	0.0258027636771432
"V405"	598.773849083632	0.709208548893234	0.0298429764471551
"V406"	445.77676742716	0.709235206537284	0.0256865533516215
"V407"	864.437523805664	0.709161684134764	0.0360752243752347
"V408"	1283.40965908881	0.709089921840287	0.0437318905070037
"V409"	1140.60609760036	0.709118455027026	0.0404310334344837
"V410"	1177.15302111813	0.709111060427722	0.0413182535161796
"V411"	2059.92890830913	0.70900229522546	0.0481357302710084
"V412"	2950.54201620462	0.708926559978934	0.0500560721304375
"V413"	6353.01363282826	0.708560836889513	0.0665023608214382
"V414"	967.105764011707	0.709175467504828	0.0309817060784211
"V415"	944.093437989958	0.709179595526197	0.0304098157686021
"V416"	1520.70250572001	0.709098094853921	0.0386972720153403
"V417"	1073.49187985581	0.709162813061107	0.0321295787097661
"V418"	495.046459602451	0.709258658687465	-0.0169448888414938
"V419"	319.031371944544	0.709277937339012	-0.0135000936037551
"V420"	330.73814937059	0.709277301479942	0.0135054545352136
"V421"	881.070342145268	0.709222550692474	-0.0212764877630469
"V422"	23.1717574247886	0.709309705662904	-0.00357872186149593
"V423"	312.710245283107	0.709274860393917	-0.0148622735775824
"V424"	8.00706039054012	0.709311323622328	-0.00205819066307863
"V425"	67.7671527039876	0.709303789498166	-0.00715769717673633
"V426"	511.415591449469	0.709245386251834	-0.0208084778581214
"V427"	575.203294036707	0.709236365066281	-0.0222722608970946
"V428"	653.252207065751	0.709228848915896	-0.0229724295383007
"V429"	0.0174037954931707	0.709312148213202	9.51844651422837e-05
"V430"	41.4670690124369	0.709308440921097	0.00405939972380892
"V431"	50.6424761772134	0.709307699784684	0.00440728896294973
"V432"	625.650858019759	0.70926033163029	0.0146014217883498
"V433"	2313.38876766251	0.709146488890577	-0.0242797058361638
"V434"	648.3968830074	0.70926451309628	-0.0131855401604191
"V435"	1386.99862961269	0.709138317450379	-0.0329037393012611
"V436"	363.799000098289	0.709256009193129	-0.0207456942566684
"V437"	1218.39362873433	0.709145150338717	-0.0337263829540355
"V438"	105.49357662302	0.709295367524241	-0.0115159269785128
"V439"	111.938603348751	0.70929431403373	-0.0118812801264445
"V440"	1003.84642954509	0.709157768243801	-0.0343480902705363
"V441"	861.922525890791	0.709180161208872	-0.0316905281989429
"V442"	1411.32994345171	0.709103715409696	0.0391136981944439
"V443"	318.697938715652	0.709267241343315	0.0177301995422928
"V444"	193.410126332318	0.709284646574987	0.0139382956891428
"V445"	28.9769674115824	0.709308244499206	-0.00511325945236215
"V446"	1803.25806133563	0.709114901162138	-0.0327455301418654
"V447"	1764.06995728901	0.709119133363959	-0.0323966990961576
"V448"	4835.29228041364	0.708787673881465	-0.0531962879829199
"V449"	828.142977547702	0.709214292739008	-0.0239687855058496
"V450"	895.10411482618	0.709192964657265	-0.0280804958603083
"V451"	1674.20144777164	0.709091433073869	-0.0380288043350144
"V452"	2565.44691228064	0.708964721930229	-0.0483661916752498
"V453"	0.228684716014634	0.709312118484004	0.000464395929310648
"V454"	41.2207179960389	0.709306490246278	-0.0062128171487476
"V455"	1183.1460036113	0.70917943962009	-0.0271964805212112
"V456"	418.999446755009	0.709262400142875	-0.0171301540376184
"V457"	4923.77552641696	0.708765352703	-0.0549614130391354
"V458"	1753.69729338479	0.709130241219361	-0.0306219938588734
"V459"	1055.54232363862	0.709169206990233	-0.0310140403809321
"V460"	623.442224045141	0.709231149450222	-0.0228657351249149
"V461"	36.3753136874232	0.709306487434567	0.00661696254057945
"V462"	4442.09322016276	0.708806501375322	-0.0535069795919128
"V463"	434.709516771115	0.709268148997384	0.0148742688765307
"V464"	3827.85997643785	0.708952692254943	0.0409671449683134
"V465"	2037.53276421279	0.70914606391453	0.0259375156127376
"V466"	1015.94276744868	0.70914939085885	0.0359961586357338
"V467"	2333.51304789636	0.709007726394217	-0.0444329727701901
"V468"	102.766386536909	0.709300487714059	-0.00810794570880988
